競馬場,距離,馬番,出走数,勝利数,勝率,平均勝率,p値,コースID
新潟,1000,16,101,16,15.80%,6.10%,0.0004,新潟芝1000
新潟,1000,14,108,14,13.00%,6.10%,0.0061,新潟芝1000
新潟,1000,12,115,13,11.30%,6.10%,0.0235,新潟芝1000
新潟,1000,17,62,8,12.90%,6.10%,0.0344,新潟芝1000
福島,1200,2,267,30,11.20%,6.90%,0.0064,福島芝1200
阪神,1200,2,111,17,15.30%,7.60%,0.0046,阪神芝1200
福島,1200,4,268,29,10.80%,6.90%,0.0119,福島芝1200
中京,1200,10,117,14,12.00%,6.80%,0.0274,中京芝1200
中山,1200,1,196,21,10.70%,6.90%,0.0323,中山芝1200
函館,1200,5,210,24,11.40%,7.90%,0.043,函館芝1200
小倉,1200,16,243,23,9.50%,6.50%,0.0453,小倉芝1200
新潟,1200,12,86,10,11.60%,6.40%,0.0462,新潟芝1200
中京,1400,6,179,26,14.50%,6.80%,0.0002,中京芝1400
東京,1400,10,266,27,10.20%,6.80%,0.0251,東京芝1400
中京,1400,4,182,19,10.40%,6.80%,0.0443,中京芝1400
中京,1600,6,253,31,12.30%,7.60%,0.0064,中京芝1600
中京,1600,2,256,30,11.70%,7.60%,0.0131,中京芝1600
阪神,1600,9,257,29,11.30%,7.40%,0.016,阪神芝1600
東京,1600,4,382,38,9.90%,7.30%,0.0353,東京芝1600
東京,1600,10,339,34,10.00%,7.30%,0.0402,東京芝1600
新潟,1600,8,141,16,11.30%,7.10%,0.0422,新潟芝1600
福島,1800,3,156,19,12.20%,7.10%,0.0145,福島芝1800
函館,1800,3,104,15,14.40%,8.00%,0.0188,函館芝1800
東京,1800,5,314,35,11.10%,7.80%,0.0224,東京芝1800
阪神,1800,4,205,26,12.70%,8.40%,0.0246,阪神芝1800
中京,2000,2,326,41,12.60%,8.20%,0.0044,中京芝2000
東京,2000,1,231,29,12.60%,8.70%,0.0279,東京芝2000
小倉,2000,4,196,23,11.70%,7.70%,0.0282,小倉芝2000
京都,2000,4,145,20,13.80%,8.80%,0.03,京都芝2000
中京,2000,8,297,34,11.40%,8.20%,0.0314,中京芝2000
阪神,2000,1,221,28,12.70%,9.00%,0.0407,阪神芝2000
中山,2200,2,92,12,13.00%,7.00%,0.0276,中山芝2200
京都,2200,7,47,8,17.00%,8.40%,0.0411,京都芝2200
阪神,2400,1,81,13,16.00%,9.60%,0.0462,阪神芝2400
中山,2500,8,58,11,19.00%,8.00%,0.006,中山芝2500
札幌,2600,2,42,7,16.70%,7.90%,0.0456,札幌芝2600
